"sample.rate","channels","bits","samples","length.secs","file.size","file.location","filename","drive.id","device.id","timestamp","n.copies"
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180715_200534.wav","MMP-POPA25_20180715_200534.wav",22,25,"2018-07-15 20:05:34",1
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180715_203534.wav","MMP-POPA25_20180715_203534.wav",22,25,"2018-07-15 20:35:34",1
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180715_210534.wav","MMP-POPA25_20180715_210534.wav",22,25,"2018-07-15 21:05:34",1
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180715_213534.wav","MMP-POPA25_20180715_213534.wav",22,25,"2018-07-15 21:35:34",1
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180715_220534.wav","MMP-POPA25_20180715_220534.wav",22,25,"2018-07-15 22:05:34",1
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180715_223534.wav","MMP-POPA25_20180715_223534.wav",22,25,"2018-07-15 22:35:34",1
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180715_230534.wav","MMP-POPA25_20180715_230534.wav",22,25,"2018-07-15 23:05:34",1
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180715_233534.wav","MMP-POPA25_20180715_233534.wav",22,25,"2018-07-15 23:35:34",1
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180716_000534.wav","MMP-POPA25_20180716_000534.wav",22,25,"2018-07-16 00:05:34",1
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180716_010534.wav","MMP-POPA25_20180716_010534.wav",22,25,"2018-07-16 01:05:34",1
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180716_020534.wav","MMP-POPA25_20180716_020534.wav",22,25,"2018-07-16 02:05:34",1
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180716_030534.wav","MMP-POPA25_20180716_030534.wav",22,25,"2018-07-16 03:05:34",1
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180716_040534.wav","MMP-POPA25_20180716_040534.wav",22,25,"2018-07-16 04:05:34",1
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180716_043534.wav","MMP-POPA25_20180716_043534.wav",22,25,"2018-07-16 04:35:34",1
44100,2,16,25004800,567,100051968,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180716_050534.wav","MMP-POPA25_20180716_050534.wav",22,25,"2018-07-16 05:05:34",1
44100,2,16,25004800,567,100051968,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180716_053534.wav","MMP-POPA25_20180716_053534.wav",22,25,"2018-07-16 05:35:34",1
44100,2,16,25004800,567,100051968,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180716_060534.wav","MMP-POPA25_20180716_060534.wav",22,25,"2018-07-16 06:05:34",1
44100,2,16,25004800,567,100051968,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180716_063534.wav","MMP-POPA25_20180716_063534.wav",22,25,"2018-07-16 06:35:34",1
44100,2,16,25004800,567,100051968,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180716_070534.wav","MMP-POPA25_20180716_070534.wav",22,25,"2018-07-16 07:05:34",1
44100,2,16,25004800,567,100051968,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180716_073534.wav","MMP-POPA25_20180716_073534.wav",22,25,"2018-07-16 07:35:34",1
44100,2,16,25004800,567,100051968,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180716_080534.wav","MMP-POPA25_20180716_080534.wav",22,25,"2018-07-16 08:05:34",1
