"drive.id","file.location","filename","length","type","device.id","timestamp","n.copies"
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130613_222256.wav","POPA-15_20130613_222256.wav",3122,"other","15",2013-06-13 22:22:56,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130614_000000.wav","POPA-15_20130614_000000.wav",900,"other","15",2013-06-14 00:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130614_010000.wav","POPA-15_20130614_010000.wav",900,"other","15",2013-06-14 01:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130614_020000.wav","POPA-15_20130614_020000.wav",900,"other","15",2013-06-14 02:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130614_030000.wav","POPA-15_20130614_030000.wav",900,"other","15",2013-06-14 03:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130614_040000.wav","POPA-15_20130614_040000.wav",12173,"other","15",2013-06-14 04:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130614_072256.wav","POPA-15_20130614_072256.wav",2222,"other","15",2013-06-14 07:22:56,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130614_190000.wav","POPA-15_20130614_190000.wav",12173,"other","15",2013-06-14 19:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130614_222256.wav","POPA-15_20130614_222256.wav",3123,"other","15",2013-06-14 22:22:56,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130615_000000.wav","POPA-15_20130615_000000.wav",900,"other","15",2013-06-15 00:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130615_010000.wav","POPA-15_20130615_010000.wav",900,"other","15",2013-06-15 01:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130615_020000.wav","POPA-15_20130615_020000.wav",900,"other","15",2013-06-15 02:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130615_030000.wav","POPA-15_20130615_030000.wav",900,"other","15",2013-06-15 03:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130615_040000.wav","POPA-15_20130615_040000.wav",12173,"other","15",2013-06-15 04:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130615_072256.wav","POPA-15_20130615_072256.wav",2223,"other","15",2013-06-15 07:22:56,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130615_190000.wav","POPA-15_20130615_190000.wav",12173,"other","15",2013-06-15 19:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130615_222256.wav","POPA-15_20130615_222256.wav",3123,"other","15",2013-06-15 22:22:56,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130616_000000.wav","POPA-15_20130616_000000.wav",900,"other","15",2013-06-16 00:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130616_010000.wav","POPA-15_20130616_010000.wav",900,"other","15",2013-06-16 01:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130616_020000.wav","POPA-15_20130616_020000.wav",900,"other","15",2013-06-16 02:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130616_030000.wav","POPA-15_20130616_030000.wav",900,"other","15",2013-06-16 03:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130616_040000.wav","POPA-15_20130616_040000.wav",12173,"other","15",2013-06-16 04:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130616_072256.wav","POPA-15_20130616_072256.wav",2223,"other","15",2013-06-16 07:22:56,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130616_190000.wav","POPA-15_20130616_190000.wav",12173,"other","15",2013-06-16 19:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130616_222256.wav","POPA-15_20130616_222256.wav",3123,"other","15",2013-06-16 22:22:56,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130617_000000.wav","POPA-15_20130617_000000.wav",900,"other","15",2013-06-17 00:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130617_010000.wav","POPA-15_20130617_010000.wav",900,"other","15",2013-06-17 01:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130617_020000.wav","POPA-15_20130617_020000.wav",900,"other","15",2013-06-17 02:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130617_030000.wav","POPA-15_20130617_030000.wav",900,"other","15",2013-06-17 03:00:00,1
